
Tue May  5 11:23:18 2015
Age data: Zhang_2010_S1.txt
Expression data: Alldata_tab.txt
General results:
	The total amount of entrances found and crosslinked was: 12922.
	The total number of entrances not found on Zhang was: 5160.
	The total number of entrances not found from Zhang was: 805 
	Could not find the following entrances in Zhang's file:



CG18416-RA	CG18416	CG18416
CG12492-RA	CG12492,DpseGA11661	CG12492
CG17934-RA	Mst84Db	CG17934
CG30484-RA	CG30484	CG30484
HDC06179	---	---
S.C2R001528	---	---
CG13965-RA	CG13965	CG13965
CG31160-RA	CG31160	CG31160
Dm.2L.8433.0	---	---
S.CX000456	---	---
AM01350	---	---
HDC02494	---	---
S.CX001945	---	---
CG15286-RA	CG15286	CG15286
S.C3R001858	---	---
HDC08957	---	---
CG32341-RA	CG32341	CG32341
HDC14396	---	---
S.C3R000938	---	---
Dm.2L.6899.0	---	---
HDC02979	---	---
S.C3R002177	---	---
CT34017	---	---
CG32336-RA	CG32336	CG32336
Dm.3L.26051.0	---	---
Dm.2L.3939.0	---	---
CG12899-RA	CG12899	CG12899
HDC02527	---	---
HDC11218	---	---
CG31929-RA	Gr22c	CG31929
S.C3L002667	---	---
S.C2R001443	CG12959	CG12959
GM05554	---	---
CG12689-RA	CG12689	CG12689
CT35452	Rbp9	Rbp9
CT41110	---	---
Dm.3R.43676.0	---	---
CG5074-RA	capt	CG5074
S.C2R000284	---	---
CG14547-RA	CcapR	CG14547
HDC16025	---	---
S.CX002307	---	---
HDC13997	---	---
HDC12794	---	---
S.CX001788	---	---
CG12842-RA	CG12842	CG12842
Dm.2R.13968.0	---	---
CT33154	---	---
HDC08822	---	---
S.CX002104	---	---
Dm.2L.8668.0	---	---
HDC03687	---	---
CG30081-RA	CG30081	CG30081
HDC00202	---	---
S.CX001792	---	---
HDC02045	---	---
HDC00114	---	---
HDC15808	---	---
CG31466-RA	CG31466	CG31466
HDC14326	---	---
HDC02581	---	---
HDC15099	---	---
S.C2L001271	---	---
S.C3R003705	---	---
HDC18289	---	---
GH23165	---	---
HDC02662	---	---
HDC11442	---	---
S.C3L000062	---	---
CT35899	Oamb	Oamb
S.C2L002550	---	---
CG32686-RA	CG32686	CG32686
HDC12109	---	---
S.C2R002196	---	---
HDC18647	---	---
HDC17206	---	---
CG5156-RA	CG5156	CG5156
HDC13467	---	---
CG9215-RA	CG9215	CG9215
CG15907-RA	ham	CG15907
HDC10049	---	---
HDC12017	---	---
HDC09065	---	---
S.CX002133	---	---
HDC14029	---	---
HDC04142	---	---
CG6283-RA	CG6283	CG6283
HDC18545	---	---
S.C3R003198	---	---
CG11801-RA	CG11801	CG11801
CG15159-RA	CG15159	CG15159
HDC12541	---	---
CT31943	---	---
CG31556-RA	CG31556	CG31556
S.C3R002809	---	---
S.C3R000813	---	---
CG32956-RA	---	CG32956
HDC20086	---	---
LD07388	---	---
S.C3R000701	---	---
Dm.2L.5290.0	---	---
HDC02698	---	---
HDC05561	---	---
S.C3L002613	---	---
HDC01530	---	---
CG13548-RA	CG13548	CG13548
CG33067-RC	mei-217,mei-218	CG33067
S.C2R002822	---	---
S.C2L000511	---	---
HDC02065	---	---
CG31629-RA	Pvf3	CG31629
HDC11908	---	---
HDC14729	---	---
CG31887-RA	CG31887	CG31887
HDC16920	---	---
HDC08075	---	---
S.C2R000346	---	---
HDC06205	---	---
HDC11700	---	---
HDC14972	---	---
S.CX001568	---	---
HDC11811	---	---
Dm.3R.44169.0	---	---
Dm.2L.6688.0	---	---
HDC15931	---	---
LD03248	---	---
HDC15267	---	---
Dm.3R.45049.0	---	---
S.C3L000822	---	---
HDC10582	---	---
Dm.X.53573.0	---	---
S.C3L002386	---	---
HDC08292	---	---
HDC11843	---	---
CT35121	---	---
S.C3R001660	---	---
S.C3L002302	CG32194	CG32194
CG33070-RA	Sxl	CG33070
HDC12179	---	---
HDC15820	---	---
HDC18813	---	---
S.C3R001747	---	---
S.C3R002811	CG31238	CG31238
HDC16530	---	---
HDC13423	---	---
CG18368-RA	CG18368	CG18368
CG1696-RA	l(1)G0269	CG1696
S.C2R002451	---	---
S.CX002471	---	---
HDC19717	---	---
HDC10908	---	---
CG31370-RA	CG31370	CG31370
HDC19718	---	---
CG12824-RA	CG12824	CG12824
CG12820-RA	CG12820	CG12820
HDC07043	---	---
HDC01031	---	---
HDC10441	---	---
S.C3R003154	---	---
CG32477-RA	---	CG32477
HDC14720	---	---
HDC01261	---	---
CG13988-RA	CG13988	CG13988
HDC07387	---	---
CG17097-RB	CG17097	CG17097
HDC11838	---	---
S.C3L000287	---	---
S.C3L001363	---	---
CG12193-RA	Or22a	CG12193
CG32542-RA	CG32542	CG32542
S.CX000420	---	---
CG3473-RA	CG3473	CG3473
HDC05888	---	---
HDC11646	---	---
CG32231-RA	CG32231	CG32231
HDC01517	---	---
HDC09864	---	---
CG2070-RA	CG2070	CG2070
HDC01519	---	---
HDC07874	---	---
HDC13939	---	---
HDC03159	---	---
CG14791-RB	Rab27	CG14791
HDC10955	---	---
CG5739-RA	CG5739	CG5739
Dm.3R.36162.0	---	---
HDC19053	---	---
S.CX001790	---	---
GM03914	---	---
S.CX001472	---	---
CG30286-RA	CG30286	CG30286
Dm.2L.3138.0	---	---
CG31532-RA	CG31532	CG31532
HDC09484	---	---
CG31411-RA	CG31411	CG31411
S.C3L000476	---	---
HDC15129	---	---
HDC04828	---	---
CG31244-RA	CG31244	CG31244
CT39470	---	---
S.C3L001582	Rh7	Rh7
CG2967-RA	CG2967	CG2967
HDC11597	---	---
Dm.X.53123.0	---	---
HDC09385	---	---
Dm.3L.32218.0	---	---
Dm.3R.44345.0	---	---
CG1874-RA	CG1874	CG1874
HDC16566	---	---
HDC07667	---	---
HDC06510	---	---
Dm.3R.48110.0	---	---
CG33146-RA	Mctp	CG33146
CG31874-RA	CG31874	CG31874
S.C2L001482	---	---
CG15348-RA	Cp7Fa	CG15348
Dm.3R.35799.0	---	---
HDC18412	---	---
HDC01527	---	---
CG7245-RA	eys	CG7245
HDC02694	---	---
CG12516-RA	CG12516	CG12516
HDC10560	---	---
HDC15793	---	---
GH22170	---	---
HDC09819	---	---
S.C2L002689	---	---
S.CX000642	---	---
CG1644-RA	Cyp6t1	CG1644
Dm.2R.14235.0	---	---
HDC14323	---	---
HDC04774	---	---
S.C3L001139	---	---
S.C3L000847	---	---
HDC06051	---	---
CG13461-RA	CG13461	CG13461
HDC17627	---	---
HDC06346	---	---
HDC00331	---	---
HDC14725	---	---
CG14851-RA	CG14851	CG14851
CG4464-RA	RpS19a	CG4464
Dm.3R.41425.0	---	---
HDC17704	---	---
HDC03307	---	---
HDC14069	---	---
CG11512-RA	GstD4	CG11512
S.C2L000335	---	---
CG30487-RA	CG30487	CG30487
HDC17467	---	---
HDC08133	---	---
HDC20070	---	---
S.C2L000553	---	---
S.C2R001402	---	---
HDC13014	---	---
HDC11892	---	---
CG11227-RC	CG11227	CG11227
CG31859-RA	CG31859	CG31859
HDC00470	syt	syt
HDC17482	---	---
CG31017-RA	PH4NE3	CG31017
S.C3L001707	---	---
HDC07523	---	---
S.C2R002103	---	---
HDC20433	---	---
CG17658-RA	CG17658	CG17658
HDC11583	---	---
S.C2L000209	---	---
HDC06710	---	---
S.C3L001761	---	---
HDC13165	---	---
HDC10481	---	---
HDC02560	---	---
CT35159	---	---
S.CX000543	---	---
HDC12884	---	---
LD15354	---	---
CG4110-RA	---	CG4110
HDC14379	---	---
HDC13385	---	---
HDC03209	---	---
CT32236	---	---
CG13063-RA	CG13063	CG13063
CT35718	---	---
HDC16060	---	---
CG15337-RA	CG15337	CG15337
HDC16092	---	---
HDC08153	---	---
S.CX000659	---	---
S.CX002356	---	---
HDC11512	---	---
HDC11211	---	---
Dm.3R.42652.0	---	---
Dm.3R.34192.0	---	---
HDC17435	---	---
Dm.2R.18540.0	CG33775	CG33775
S.C3L000823	---	---
CG15462-RA	CG15462	CG15462
CG5699-RA	zormin	CG5699
CG8289-RA	CG8289	CG8289
CT34151	---	---
CG15060-RA	CG15060	CG15060
CG13307-RA	CG13307	CG13307
S.C3R001604	---	---
S.CX001452	---	---
HDC20135	---	---
HDC17318	---	---
RH44003	---	---
S.C3L000370	---	---
CG31083-RA	---	CG31083
CG5115-RB	CG5115	CG5115
S.C2L002408	---	---
HDC06262	---	---
HDC20158	---	---
HDC08277	---	---
HDC19077	---	---
CG15489-RA	CG15489	CG15489
S.C3R000349	---	---
CG32316-RB	---	CG32316
HDC08818	---	---
S.C2L000536	---	---
CG13225-RA	Or47a	CG13225
HDC09483	---	---
HDC08287	---	---
CG30469-RA	CG30469	CG30469
CG40293-RB	Stlk	CG40293
HDC02244	---	---
HDC00216	---	---
HDC05671	---	---
HDC06366	---	---
HDC12162	---	---
CG4288-RB	CG4288	CG4288
GH13236	---	---
S.C2L002409	---	---
HDC03009	---	---
HDC17695	---	---
CG7915-RA	Ect4	CG7915
HDC05896	---	---
CR32926-RA	---	CR32926
HDC10038	---	---
S.C2R002144	---	---
CG14692-RA	CG14692	CG14692
HDC06899	---	---
CG13489-RA	CG13489	CG13489
Dm.3L.31639.0	---	---
CG30336-RA	CG30336	CG30336
S.CX000755	---	---
CG1763-RA	nod	CG1763
HDC19050	---	---
HDC13249	---	---
Dm.X.58307.0	---	---
CT32407	---	---
CG15380-RA	dpr3	CG15380
HDC01125	---	---
CG31657-RA	PNUTS	CG31657
HDC03333	---	---
HDC00910	---	---
Dm.2L.9302.0	---	---
CG31723-RA	CG31723	CG31723
RE65113_revcomp	---	---
HDC07885	---	---
HDC02262	---	---
HDC20085	---	---
HDC19168	---	---
AM01360	---	---
Dm.2R.11389.0	---	---
HDC00421	---	---
HDC20246	---	---
CG15349-RA	Cp7Fa	CG15349
CT34128	---	---
CG7321-RA	Rim	CG7321
Dm.3R.44613.0	---	---
S.C3L001531	---	---
S.C2R002842	---	---
Dm.2L.9462.0	---	---
S.CX000780	---	---
HDC11545	---	---
CG31898-RA	CG31898	CG31898
CG9569-RA	D2R	CG9569
S.C3R000384	---	---
CG13819-RA	CG13819	CG13819
CG30409-RA	CG30409	CG30409
HDC12632	---	---
HDC15728	---	---
HDC13888	---	---
HDC14488	---	---
S.C3L001640	---	---
Dm.2R.17149.0	---	---
CG15602-RA	CG15602	CG15602
S.C3L001983	pHCl	pHCl
Dm.3R.36307.0	---	---
S.CX000333	---	---
S.CX001539	---	---
GM06310	---	---
HDC19504	---	---
Dm.3R.34199.0	---	---
S.C3L000825	---	---
HDC19942	---	---
HDC13290	---	---
S.C3R002127	---	---
S.C3L002790	---	---
CT34187	mbl	mbl
HDC15395	nAcR96Aa	nAcR96Aa
CT35721	---	---
HDC07055	---	---
Dm.2R.12342.0	---	---
S.C2L001585	---	---
CG31314-RA	Neu3	CG31314
CG32692-RA	CG32692	CG32692
S.C2L002434	---	---
CG32507-RA	CG32507	CG32507
HDC00762	---	---
HDC10624	---	---
HDC05167	---	---
S.C3L000927	---	---
S.C3R000884	---	---
HDC16899	---	---
S.C3L002528	---	---
CG11300-RA	CG11300	CG11300
CG7106-RA	lectin-28C	CG7106
CG31175-RC	Dys	CG31175
HDC12427	---	---
HDC14860	---	---
CG16732-RA	CG16732	CG16732
CG18648-RA	---	CG18648
S.C3R002387	CG33335	CG33335
CG31525-RA	CG31525	CG31525
CG18211-RA	Try	CG18211
HDC12020	---	---
CG14451-RA	CG14451	CG14451
HDC03049	---	---
S.C3L000684	---	---
HDC11480	---	---
HDC13938	---	---
HDC08759	---	---
CR_tc_GM12657	---	---
Dm.3R.37179.0	---	---
CG4956-RA	CG4956	CG4956
Dm.X.53613.0	---	---
CT41495	---	---
HDC14849	---	---
HDC12384	---	---
CG7274-RA	CG7274	CG7274
CR_tc_GM04921	---	---
CG13444-RA	pHCl	CG13444
Transposon.20	---	---
HDC13008	---	---
HDC13141	---	---
CG15062-RA	upd3	CG15062
HDC05090	---	---
HDC17826	---	---
HDC16039	---	---
CT35401	CG32705	CG32705
HDC19330	---	---
S.C3L000895	CG34030	CG34030
S.C2R002082	---	---
S.C3R002203	---	---
Dm.3R.45256.0	---	---
S.CX000437	---	---
HDC18269	---	---
HDC12949	---	---
HDC08749	---	---
S.C3R001361	---	---
HDC07189	---	---
S.C3L002030	---	---
CG31796-RA	CG31796	CG31796
S.CX001528	---	---
HDC11104	---	---
HDC13010	---	---
AM01191	---	---
HDC08134	---	---
CG31049-RA	Doa	CG31049
HDC08176	---	---
S.C2L001774	---	---
HDC12671	---	---
CG12448-RB	CG12448	CG12448
S.C3R001993	---	---
CG14955-RA	CG14955	CG14955
HDC07431	---	---
CG31653-RA	CG31653	CG31653
CG1279-RA	Rtnl2	CG1279
HDC07602	---	---
CG5364-RA	rho-5	CG5364
HDC09391	---	---
CG8306-RA	CG8306	CG8306
S.CX002043	---	---
CG31912-RA	CG31912	CG31912
S.C3L002200	---	---
CG31198-RA	CG31198	CG31198
CG7363-RA	CG7363	CG7363
HDC17852	---	---
HDC11456	---	---
CG6156-RA	CG6156	CG6156
HDC14015	---	---
CG7453-RA	CG7453	CG7453
HDC14726	---	---
HDC15217	---	---
CG32508-RC	shakB	CG32508
CG15663-RA	Rgk3	CG15663
Dm.2L.6989.0	---	---
CT33773	---	---
HDC14351	---	---
HDC17958	---	---
CT11930	---	---
Dm.3R.44273.0	---	---
HDC02826	---	---
CG31397-RA	CG31397	CG31397
HDC11681	---	---
Dm.3R.48029.0	---	---
Dm.3R.44167.0	---	---
CG13834-RA	CG13834	CG13834
HDC15815	---	---
HDC13913	---	---
CG13732-RA	CG13732	CG13732
HDC12962	---	---
S.C2L002684	---	---
CG31268-RA	CG31268	CG31268
CG31513-RA	CG31513	CG31513
CG31039-RA	Jon99Ci	CG31039
HDC15213	---	---
Dm.2L.4001.0	---	---
HDC03927	---	---
Dm.3R.41603.0	---	---
HDC14260	---	---
HDC07115	---	---
Dm.2L.3434.0	---	---
CG7290-RA	CG7290	CG7290
HDC10933	---	---
CT15261	bol	bol
CG16848-RA	CG16848	CG16848
HDC04256	---	---
CG12710-RA	CG12710	CG12710
HDC12400	---	---
HDC14103	---	---
CG30132-RA	mei-W68	CG30132
S.CX002255	---	---
HDC04661	---	---
Dm.3R.43354.0	---	---
CG8687-RA	Cyp6a14	CG8687
HDC14534	---	---
HDC14948	---	---
CG11588-RA	CG11588	CG11588
HDC15172	---	---
HDC19986	---	---
HDC15393	---	---
S.C3L001214	---	---
HDC02532	---	---
HDC11209	---	---
CG12274-RA	CG12274	CG12274
CG11692-RA	CG11692	CG11692
HDC02384	---	---
CG31141-RA	CG31141	CG31141
S.C3R001748	---	---
CG17105-RA	CG17105	CG17105
CT43255	---	---
HDC16825	---	---
HDC16402	---	---
HDC16879	---	---
CG32469-RA	CG33975	CG32469
HDC15101	---	---
CG30464-RA	CG30464	CG30464
S.C2L001055	---	---
HDC08645	---	---
CG7981-RB	---	CG7981
HDC01182	---	---
HDC13911	---	---
HDC08171	---	---
CG11339-RA	CG11339	CG11339
CG11928-RA	CG11928	CG11928
CG32538-RB	nAcR18C	CG32538
CG18581-RA	CG18581	CG18581
HDC11875	---	---
CG31319-RA	RhoGAP88C	CG31319
HDC12323	---	---
Dm.3R.35518.0	---	---
CG11666-RA	CG11666	CG11666
CG13790-RA	CG13790	CG13790
HDC03977	---	---
CG9486-RA	CG9486	CG9486
S.C3R003364	---	---
HDC11505	---	---
CG15488-RA	CG15488	CG15488
CG31645-RA	CG31645	CG31645
CG3568-RA	CG3568	CG3568
Dm.X.53590.0	---	---
S.C3L001813	---	---
S.CX001228	---	---
HDC12199	---	---
HDC00979	---	---
S.C3R001105	---	---
HDC13484	---	---
S.CX002359	---	---
HDC00195	---	---
CT32533	---	---
S.C3R001802	---	---
CG31134-RA	Myo95E	CG31134
Dm.3L.23794.0	---	---
HDC17875	---	---
HDC11479	---	---
CT35287	---	---
Dm.3L.31540.0	---	---
CG14481-RA	CG14481	CG14481
CG31147-RA	mthl11	CG31147
CG15446-RA	CG15446	CG15446
CG31535-RA	CG31535	CG31535
CG3427-RA	Epac	CG3427
CG32705-RA	CG32705	CG32705
CG31484-RA	CG31484	CG31484
HDC12428	---	---
CG32313-RA	CG32313	CG32313
HDC10350	---	---
HDC11248	---	---
HDC16557	---	---
HDC06513	---	---
HDC12856	---	---
CG8760-RA	CG8760	CG8760
Dm.3L.28481.0	---	---
HDC12966	---	---
HDC16611	---	---
Dm.3L.22818.0	---	---
HDC11876	---	---
CG33280-RA	CG33280	CG33280
CG40130-RA	CG40130	CG40130
CT35604	---	---
CG7204-RA	Neu2	CG7204
HDC12296	---	---
CG40306-RA	---	CG40306
CG13479-RA	CG13479	CG13479
Dm.3L.26046.0	---	---
HDC03634	---	---
S.C3L001397	---	---
S.C3R001491	---	---
S.C3L000477	---	---
HDC19553	---	---
HDC06240	---	---
CG32814-RA	CG32814	CG32814
CG14493-RA	---	CG14493
CG32376-RA	CG32376	CG32376
S.C2L002203	---	---
HDC19552	---	---
Dm.3R.48180.0	---	---
HDC17204	---	---
HDC01059	---	---
CG5436-RA	Hsp68	CG5436
Dm.2L.7653.0	---	---
Dm.3L.29610.0	---	---
HDC05459	---	---
HDC11652	---	---
HDC15650	---	---
S.C2L002284	---	---
HDC08818	---	---
CT33405	---	---
HDC10932	---	---
S.C3R001263	---	---
CG15379-RA	dpr3	CG15379
HDC02628	---	---
CG32414-RA	CG32414	CG32414
Dm.3R.47166.0	---	---
HDC08083	---	---
HDC11198	---	---
CT35136	---	---
HDC07444	---	---
S.C3L001208	---	---
CG14860-RA	CG14860	CG14860
CG32523-RA	CG32523	CG32523
HDC16240	---	---
HDC09452	---	---
CG31348-RA	Oct3R	CG31348
CG18806-RA	CG18806	CG18806
Dm.X.50012.0	---	---
HDC09867	---	---
HDC04652	---	---
HDC10201	---	---
S.CX001667	cngl	cngl
Transposon.99	---	---
S.C2L000361	---	---
CG32070-RA	CG32070	CG32070
CT33970	---	---
HDC10066	---	---
CG15280-RA	---	CG15280
Dm.X.52900.0	---	---
HDC09244	---	---
S.C2L002722	---	---
HDC13644	---	---
HDC10334	---	---
CG30267-RA	CG30267	CG30267
S.C2L002562	---	---
CT32812	---	---
CG15509-RA	kay	CG15509
CG13785-RA	CG13785	CG13785
HDC06017	---	---
HDC12431	---	---
CG13535-RA	CG13535	CG13535
HDC00241	---	---
S.CX000952	---	---
HDC14396	---	---
S.C2L001861	---	---
HDC07475	---	---
CG13459-RA	---	CG13459
HDC19511	---	---
HDC03045	---	---
CT34009	---	---
Dm.3R.40215.0	---	---
Dm.3L.29618.0	---	---
CG10629-RA	CG10629	CG10629
S.CX002339	---	---
CG4231-RA	Or22b	CG4231
CG31236-RB	---	CG31236
S.C2R000255	---	---
HDC11024	---	---
GM02640	Eip75B	Eip75B
HDC16478	---	---
S.CX000508	---	---
HDC12326	---	---
CG13552-RA	CG13552	CG13552
HDC07441	---	---
HDC08137	---	---
CG8319-RA	CG8319	CG8319
Dm.2L.9124.0	---	---
CT29252	---	---
CG14070-RA	CG14070	CG14070
Dm.3R.40107.0	---	---
CG2014-RA	CG2014	CG2014
CG4814-RA	CG4814	CG4814
HDC07108	---	---
CG13490-RA	CG13490	CG13490
CG12454-RA	CG12454	CG12454
HDC00923	---	---
CG13771-RA	CG13771	CG13771
HDC02445	---	---
S.C2L000076	---	---
CG31385-RA	Neu3	CG31385
HDC17406	---	---
CG31066-RA	CG31066	CG31066
CG12870-RA	CG12870	CG12870
HDC10263	---	---
CG32141-RA	CG32141	CG32141
HDC18148	---	---
S.C3R000750	---	---
CG13141-RA	CG13141	CG13141
S.CX001650	---	---
CG14893-RA	CG14893	CG14893
HDC19535	---	---
HDC10625	---	---
HDC16221	---	---
HDC15882	---	---
S.C2L001739	---	---
HDC08173	---	---
HDC07670	---	---
CG10833-RA	Cyp28d1	CG10833
CG1324-RA	CG1324	CG1324
HDC07565	---	---
HDC12053	---	---
S.C3R000262	---	---
CG13291-RA	CG13291	CG13291
CG13731-RA	CG13731	CG13731
CT35537	---	---
Dm.3R.44874.0	---	---
HDC02016	---	---
S.C2R002140	---	---
HDC00913	---	---
S.C3R001718	---	---
